dest,source
"147527 : CII , DIG , NTL , REE cũng tăng từ 100 đến 400 đồng",",147527,CII,DIG,NTL,REE,100,400,đồng"
"153847 : Theo sau HSG là DRC , VNM tăng từ 2",",153847,Theo,HSG,DRC,VNM,2"
000 đồng trở_lên,",000,đồng,trở_lên"
"154086 : REE , DRC và DPM giảm từ 400 đồng đến trên 1",",154086,REE,DRC,DPM,400,đồng,1"
100 đồng,",100,đồng"
"155301 : CTG , EIB và STB rớt 100 đồng một cổ_phiếu",",155301,CTG,EIB,STB,rớt,100,đồng,cổ_phiếu"
"157767 : SSI , REE , VIC , BVH lình_xình giảm_giá 100 - 500 đồng trên mỗi cổ_phiếu",",157767,SSI,REE,VIC,BVH,lình_xình,giảm_giá,100,500,đồng,cổ_phiếu"
"157841 : Còn GDM , HPG , VIC mỗi mã đều tăng 500 đồng",",157841,Còn,GDM,HPG,VIC,mã,500,đồng"
"159738 : DRC , VNM và BVH đều mất trên 1",",159738,DRC,VNM,BVH,1"
000 đồng mỗi cổ_phiếu,",000,đồng,cổ_phiếu"
"168599 : Ngoài_ra , VNM cũng tăng 3",",168599,Ngoài_ra,VNM,3"
000 đồng còn PVD lên 1,",000,đồng,PVD,1"
500 đồng trên mỗi cổ_phiếu,",500,đồng,cổ_phiếu"
169943 : VIC tăng 2,",169943,VIC,2"
"500 đồng trong khi PGD , PVD thêm 1",",500,đồng,PGD,PVD,1"
300 - 1,",300,1"
500 đồng một cổ_phiếu,",500,đồng,cổ_phiếu"
"172196 : Trong đó , GAS , MSN đều tăng từ 2",",172196,Trong,GAS,MSN,2"
000 đồng trở_lên,",000,đồng,trở_lên"
"175724 : Còn GMD , BVH , DRC tăng trong khoảng 200 - 600 đồng một cổ_phiếu",",175724,Còn,GMD,BVH,DRC,200,600,đồng,cổ_phiếu"
"176212 : Còn FPT , HSG , MSN tích_lũy thêm ít_nhất 2",",176212,Còn,FPT,HSG,MSN,tích_lũy,2"
000 đồng,",000,đồng"
"177483 : Trong đó , BVH , VCB , MSN tích_lũy thêm ít_nhất 1",",177483,Trong,BVH,VCB,MSN,tích_lũy,1"
500 đồng mỗi cổ_phiếu,",500,đồng,cổ_phiếu"
"178164 : Các blue - chip theo sau gồm : FPT , KDC , MSN lần_lượt tăng 400 - 1",",178164,Các,blue,chip,FPT,KDC,MSN,lần_lượt,400,1"
000 đồng,",000,đồng"
"194346 : VCB , BID và CTG tăng từ 1 , 6 đến 3 , 8 %",",194346,VCB,BID,CTG,1,6,3,8"
"NHÓM 0 - 2 119946 : Rổ VN30 ghi_nhận thêm CII , CTG , HSG , IJC , KDC , PVD , VCB giảm hết biên_độ",",NHÓM,0,2,119946,Rổ,VN30,ghi_nhận,CII,CTG,HSG,IJC,KDC,PVD,VCB,biên_độ"
"143520 : Rổ VN30 lúc này ghi_nhận HPG , GMD , VCB và SBT cùng bật xanh",",143520,Rổ,VN30,ghi_nhận,HPG,GMD,VCB,SBT,bật,xanh"
"150090 : Sang đợt 2 , rổ VN30 ghi_nhận CTG , GMD , HSG , REE , BVH cùng bật xanh",",150090,Sang,đợt,2,rổ,VN30,ghi_nhận,CTG,GMD,HSG,REE,BVH,bật,xanh"
"150209 : Rổ VN30 ghi_nhận VNM , VIC , VCB , BVH cùng bật xanh",",150209,Rổ,VN30,ghi_nhận,VNM,VIC,VCB,BVH,bật,xanh"
"150276 : Rổ VN30 ghi_nhận nhiều blue - chip tăng hết biên_độ gồm : BVH , ITA , OGC , PVF , VSH",",150276,Rổ,VN30,ghi_nhận,blue,chip,biên_độ,BVH,ITA,OGC,PVF,VSH"
"150874 : Lúc 9h40 , rổ VN30 ghi_nhận nhiều mã : HSG , ITA , MSN , OGC , PVF , VSH tăng trần",",150874,Lúc,9h40,rổ,VN30,ghi_nhận,mã,HSG,ITA,MSN,OGC,PVF,VSH,trần"
"156048 : Lúc 9h30 , rổ VN30 ghi_nhận CSM , PVD , HSG , VNM lần_lượt tăng 1",",156048,Lúc,9h30,rổ,VN30,ghi_nhận,CSM,PVD,HSG,VNM,lần_lượt,1"
000 - 2,",000,2"
000 đồng,",000,đồng"
"164575 : Rổ VN30 ghi_nhận BVH , DRC , PET , GMD , VNM , VIC thăng_hoa",",164575,Rổ,VN30,ghi_nhận,BVH,DRC,PET,GMD,VNM,VIC,thăng_hoa"
"165876 : Rổ VN30 ghi_nhận một_số mã tăng nhẹ gồm : HAG , DRC , DPM , MBB",",165876,Rổ,VN30,ghi_nhận,mã,nhẹ,HAG,DRC,DPM,MBB"
"167141 : Rổ VN30 ghi_nhận : VCB , BVH , PGD , VNM , GMD , PVD tăng 500 - 2",",167141,Rổ,VN30,ghi_nhận,VCB,BVH,PGD,VNM,GMD,PVD,500,2"
000 đồng,",000,đồng"
"167152 : Rổ VN30 ghi_nhận DPM , REE , STB , HAG , EIB , PPC , PVT , BVH tăng 100 - 400 đồng",",167152,Rổ,VN30,ghi_nhận,DPM,REE,STB,HAG,EIB,PPC,PVT,BVH,100,400,đồng"
"171383 : Nhóm blue - chip ghi_nhận HSG , FPT , HPG , REE , SSI tăng 200 - 1",",171383,Nhóm,blue,chip,ghi_nhận,HSG,FPT,HPG,REE,SSI,200,1"
000 đồng,",000,đồng"
"172266 : Rổ VN30 ghi_nhận VIC , SSI , PET , FPT , DRC lên 500 - 1",",172266,Rổ,VN30,ghi_nhận,VIC,SSI,PET,FPT,DRC,500,1"
000 đồng,",000,đồng"
"175522 : Trong rổ VN30 , HPG , PVD , DPM giảm ít_nhất 2",",175522,Trong,rổ,VN30,HPG,PVD,DPM,2"
000 đồng,",000,đồng"
176788 : GAS tăng 1,",176788,GAS,1"
"500 đồng , PET , PPC , PVD thuộc rổ VN30 cũng tăng_giá",",500,đồng,PET,PPC,PVD,rổ,VN30,tăng_giá"
"178932 : Rổ VN30 ghi_nhận GMD , VSH , DRC , HPG , HSG lần_lượt rớt 800 - 2",",178932,Rổ,VN30,ghi_nhận,GMD,VSH,DRC,HPG,HSG,lần_lượt,rớt,800,2"
800 đồng,",800,đồng"
"179634 : Rổ VN30 ghi_nhận FPT , DRC , PVT , REE , GMD , HAG",",179634,Rổ,VN30,ghi_nhận,FPT,DRC,PVT,REE,GMD,HAG"
,
,
bật xanh,",bật,xanh"
"180403 : Rổ VN30 chứng_kiến GMD , HAG , FPT , DRC đạt phong_độ cao , lần_lượt cộng 900 - 2",",180403,Rổ,VN30,chứng_kiến,GMD,HAG,FPT,DRC,phong_độ,lần_lượt,cộng,900,2"
500 đồng,",500,đồng"
"181795 : Rổ VN30 ghi_nhận HCM , HPG , HSG , IJC , SSI , STB về giá đáy",",181795,Rổ,VN30,ghi_nhận,HCM,HPG,HSG,IJC,SSI,STB,giá,đáy"
"184195 : 90 % cổ_phiếu rổ VN30 mất_giá , BVH , FPT , HAG , GMD",",184195,90,cổ_phiếu,rổ,VN30,mất_giá,BVH,FPT,HAG,GMD"
,
,
đều suy_yếu,",suy_yếu"
"NHÓM 0 - 3 113976 : VIC , VNM giảm 1",",NHÓM,0,3,113976,VIC,VNM,1"
"000 đồng , DIG , BVH , GMD giảm 300 - 400 đồng",",000,đồng,DIG,BVH,GMD,300,400,đồng"
"123759 : STB , VCB , VNM , KDC rớt 800 - 1",",123759,STB,VCB,VNM,KDC,rớt,800,1"
100 đồng,",100,đồng"
"155767 : VNM , MSN , PVD , GMD lần_lượt rớt 1",",155767,VNM,MSN,PVD,GMD,lần_lượt,rớt,1"
000 - 1,",000,1"
300 đồng một cổ_phiếu,",300,đồng,cổ_phiếu"
"156206 : VNM , BVH , PVD , HAG , MSN lần_lượt rớt 1",",156206,VNM,BVH,PVD,HAG,MSN,lần_lượt,rớt,1"
000 - 2,",000,2"
000 đồng,",000,đồng"
"156279 : DRC , BVH , KDC , HAG , MSN giảm nhẹ",",156279,DRC,BVH,KDC,HAG,MSN,nhẹ"
"158546 : REE , GMD , BVH , MSN rớt 500 - 3",",158546,REE,GMD,BVH,MSN,rớt,500,3"
000 đồng,",000,đồng"
"160019 : BVH , VNM , PVD , MSN lần_lượt mất 1",",160019,BVH,VNM,PVD,MSN,lần_lượt,1"
000 - 3,",000,3"
000 đồng,",000,đồng"
"161475 : PVD , HSG , BVH , MSN , VNM lần_lượt giảm 2",",161475,PVD,HSG,BVH,MSN,VNM,lần_lượt,2"
300 - 4,",300,4"
000 đồng,",000,đồng"
"163862 : FPT , BVH , MSN , PVD , PVD tăng 400 - 600 đồng",",163862,FPT,BVH,MSN,PVD,PVD,400,600,đồng"
"164046 : VNM , VCB , BVH , VIC lần_lượt rớt 1",",164046,VNM,VCB,BVH,VIC,lần_lượt,rớt,1"
000 - 2,",000,2"
000 đồng,",000,đồng"
"165022 : GMD , KDC , CSM , HPG , MSN , VIC , BVH rớt 500 - 1",",165022,GMD,KDC,CSM,HPG,MSN,VIC,BVH,rớt,500,1"
100 đồng,",100,đồng"
"165310 : HAG , IJC , BVH , KDC , MSN giảm 100 - 500 đồng",",165310,HAG,IJC,BVH,KDC,MSN,100,500,đồng"
"165436 : GAS , VIC , BVH , VNM giảm 500 - 1",",165436,GAS,VIC,BVH,VNM,500,1"
000 đồng,",000,đồng"
"167349 : VCB , HAG , BVH , VIC , KDC , PVD giảm 100 - 1",",167349,VCB,HAG,BVH,VIC,KDC,PVD,100,1"
000 đồng,",000,đồng"
"167362 : Trong đó , MSN , KDC , VIC , PVD lần_lượt rớt 500 - 1",",167362,Trong,MSN,KDC,VIC,PVD,lần_lượt,rớt,500,1"
000 đồng,",000,đồng"
"168142 : BVH , MSN , PVD , VIC , VNM rớt 400 - 1",",168142,BVH,MSN,PVD,VIC,VNM,rớt,400,1"
000 đồng,",000,đồng"
"168854 : BVH , VCB , KDC , HSG , MSN , DRC giảm 100 - 1",",168854,BVH,VCB,KDC,HSG,MSN,DRC,100,1"
100 đồng,",100,đồng"
"169400 : PGD , PVD , MSN , STB , VCB trượt 100 - 500 đồng",",169400,PGD,PVD,MSN,STB,VCB,trượt,100,500,đồng"
"173510 : VCB , BVH , GAS , VIC lần_lượt tăng 200 - 1",",173510,VCB,BVH,GAS,VIC,lần_lượt,200,1"
500 đồng,",500,đồng"
"174011 : GAS , BVH , MSN , VIC , KDC , HPG , VNM rớt 500 - 2",",174011,GAS,BVH,MSN,VIC,KDC,HPG,VNM,rớt,500,2"
000 đồng,",000,đồng"
"174140 : VCB , GAS , BVH , MSN , VNM , VIC lần_lượt giảm 1",",174140,VCB,GAS,BVH,MSN,VNM,VIC,lần_lượt,1"
300 - 3,",300,3"
000 đồng,",000,đồng"
"174469 : BVH , VCB , GAS , VIC , VNM , KDC lần_lượt giảm 300 - 1",",174469,BVH,VCB,GAS,VIC,VNM,KDC,lần_lượt,300,1"
000 đồng,",000,đồng"
"175034 : GAS , VIC , BVH , MSN lần_lượt bị trừ 500 - 2",",175034,GAS,VIC,BVH,MSN,lần_lượt,trừ,500,2"
000 đồng,",000,đồng"
"177422 : GAS , VNM , VCB , MSN , BVH lần_lượt tăng 500 - 2",",177422,GAS,VNM,VCB,MSN,BVH,lần_lượt,500,2"
600 đồng,",600,đồng"
"180724 : BVH , VCB , VIC , VNM , GAS lần_lượt giảm 200 - 2",",180724,BVH,VCB,VIC,VNM,GAS,lần_lượt,200,2"
000 đồng,",000,đồng"
"181787 : VNM , MSN , VIC , BVH lần_lượt giảm 1",",181787,VNM,MSN,VIC,BVH,lần_lượt,1"
000 - 1,",000,1"
500 đồng,",500,đồng"
"181804 : GAS , VIC , VCB , KDC , MSN giảm 500 - 1",",181804,GAS,VIC,VCB,KDC,MSN,500,1"
500 đồng,",500,đồng"
"181877 : MSN , BVH , VIC , VNM , HSG , HCM , HPG lần_lượt giảm 500 - 2",",181877,MSN,BVH,VIC,VNM,HSG,HCM,HPG,lần_lượt,500,2"
000 đồng,",000,đồng"
"183982 : VIC , GAS , MSN , VCB , PVD , KDC lần_lượt bị trừ 600 - 1",",183982,VIC,GAS,MSN,VCB,PVD,KDC,lần_lượt,trừ,600,1"
900 đồng,",900,đồng"
"NHÓM 0 - 4 32391 : BBC , PET , HAX , PVD , VNM , SFC , ITA và REE giảm từ 3",",NHÓM,0,4,32391,BBC,PET,HAX,PVD,VNM,SFC,ITA,REE,3"
000 - 5,",000,5"
000 đồng,",000,đồng"
"154164 : Các blue - chip : EIB , HPG , HAG , GMD , HSG , VNM , MSN lần_lượt tăng 100 - 2",",154164,Các,blue,chip,EIB,HPG,HAG,GMD,HSG,VNM,MSN,lần_lượt,100,2"
000 đồng,",000,đồng"
"157373 : BVH , VNM lần_lượt tăng 1",",157373,BVH,VNM,lần_lượt,1"
000 - 2,",000,2"
"000 đồng còn HSG , DPM , DRC , GMD tăng 500 - 900 đồng",",000,đồng,HSG,DPM,DRC,GMD,500,900,đồng"
"159244 : HSG , DRC , BVH , CII , KDC , HAG , PNJ , VNM , MSN lần_lượt giảm 400 - 2",",159244,HSG,DRC,BVH,CII,KDC,HAG,PNJ,VNM,MSN,lần_lượt,400,2"
000 đồng,",000,đồng"
"161027 : VCB , HAG , HSG , REE , CSM , GMD , KDC , VNM lần_lượt tăng 100 - 1",",161027,VCB,HAG,HSG,REE,CSM,GMD,KDC,VNM,lần_lượt,100,1"
000 đồng,",000,đồng"
"168525 : BVH , REE , HAG , HSG , KDC , PVD , PGD , VNM lần_lượt cộng thêm 300 - 2",",168525,BVH,REE,HAG,HSG,KDC,PVD,PGD,VNM,lần_lượt,cộng,300,2"
000 đồng,",000,đồng"
"172465 : BVH , HSG , PVT , HAG , DRC , CSM , HPG lần_lượt tăng 100 - 1",",172465,BVH,HSG,PVT,HAG,DRC,CSM,HPG,lần_lượt,100,1"
200 đồng,",200,đồng"
"174739 : Những blue - chip khác : MSN , HSG , BVH , FPT , HPG lần_lượt tăng 1",",174739,Những,blue,chip,MSN,HSG,BVH,FPT,HPG,lần_lượt,1"
000 - 1,",000,1"
500 đồng,",500,đồng"
"177692 : HAG , PET , FPT , REE , GMD , SSI , PVD , PGD bị trừ 200 - 700 đồng",",177692,HAG,PET,FPT,REE,GMD,SSI,PVD,PGD,trừ,200,700,đồng"
"180348 : HSG , PVT , DPM , PVT , HCM , FPT , KDC , VIC , GMD , PVD lần_lượt giảm 200 - 2",",180348,HSG,PVT,DPM,PVT,HCM,FPT,KDC,VIC,GMD,PVD,lần_lượt,200,2"
500 đồng,",500,đồng"
"181155 : GAS , DPM , KDC , HPG , VIC lần_lượt có giá_trị bán ròng đạt 12 - 19,5 tỷ đồng",",181155,GAS,DPM,KDC,HPG,VIC,lần_lượt,ròng,12,195,tỷ,đồng"
"182691 : PVT , VIC , DPM , PVD , PPC , PXS , VNM lần_lượt giảm 400 - 3",",182691,PVT,VIC,DPM,PVD,PPC,PXS,VNM,lần_lượt,400,3"
000 đồng,",000,đồng"
"183268 : VIC , REE , KDC , SSI , HAG , GMD , HPG , HSG , MSN lần_lượt bị trừ 100 - 1",",183268,VIC,REE,KDC,SSI,HAG,GMD,HPG,HSG,MSN,lần_lượt,trừ,100,1"
500 đồng,",500,đồng"
"184044 : Blue - chip : VIC , HAG , GMD , BVH , FPT , KDC , VNM",",184044,Blue,chip,VIC,HAG,GMD,BVH,FPT,KDC,VNM"
,
,
lần_lượt giảm 200 - 1,",lần_lượt,200,1"
500 đồng,",500,đồng"
"NHÓM 0 - 5 113995 : Nhiều blue - chip như : ACB , KLS , SCR , VND giảm 100 - 200 đồng",",NHÓM,0,5,113995,Nhiều,blue,chip,ACB,KLS,SCR,VND,100,200,đồng"
"150440 : SHB , BVS , KLS , VND , HUT , DBC , PVX , PGS , PVG cùng tăng 100 - 300 đồng",",150440,SHB,BVS,KLS,VND,HUT,DBC,PVX,PGS,PVG,100,300,đồng"
"151497 : SCR tăng trần , ACB , SHB , VND tăng 300 đồng , BVS , DBC , KLS , VCG tăng 500 - 800 đồng",",151497,SCR,trần,ACB,SHB,VND,300,đồng,BVS,DBC,KLS,VCG,500,800,đồng"
"159683 : SHB , SCR , VCG , VND , BVS , HUT , KLS , ICG , AAA lần_lượt tăng 100 - 600 đồng",",159683,SHB,SCR,VCG,VND,BVS,HUT,KLS,ICG,AAA,lần_lượt,100,600,đồng"
"165793 : ACB , SHB , AAA , PVI , NTP , PGS lần_lượt tăng 100 - 900 đồng , TH1 tăng trần",",165793,ACB,SHB,AAA,PVI,NTP,PGS,lần_lượt,100,900,đồng,TH1,trần"
"166851 : SHB , SCR , BVS , KLS , VND , HUT , VCG , AAA , LAS lần_lượt tăng 100 - 400 đồng",",166851,SHB,SCR,BVS,KLS,VND,HUT,VCG,AAA,LAS,lần_lượt,100,400,đồng"
"168866 : ACB , SHB đi ngang nhưng SCR , VCG , NTP , SD6 rớt 300 - 500 đồng",",168866,ACB,SHB,đi,ngang,SCR,VCG,NTP,SD6,rớt,300,500,đồng"
"172237 : VCG lên đỉnh , ACB , SHB , BVS , KLS , VND , SCR , AAA , LAS tăng 100 - 800 đồng",",172237,VCG,đỉnh,ACB,SHB,BVS,KLS,VND,SCR,AAA,LAS,100,800,đồng"
"173695 : Nhiều mã chủ_chốt : ACB , PVX , KLS , SCR , VND , BVS , VCG lần_lượt rớt 100 - 400 đồng",",173695,Nhiều,mã,chủ_chốt,ACB,PVX,KLS,SCR,VND,BVS,VCG,lần_lượt,rớt,100,400,đồng"
"176794 : BVS , KLS , SCR , ACB , SHB , VCG , VND , LAS lần_lượt cộng 200 - 2",",176794,BVS,KLS,SCR,ACB,SHB,VCG,VND,LAS,lần_lượt,cộng,200,2"
900 đồng,",900,đồng"
"177121 : Rổ HNX30 ghi_nhận : PVS , BVS , KLS , VCG giảm khá mạnh , lần_lượt mất 400 - 500 đồng",",177121,Rổ,HNX30,ghi_nhận,PVS,BVS,KLS,VCG,lần_lượt,400,500,đồng"
"179057 : PVX , SHB , VCG , VND , SCR , BVS , KLS , PVS lần_lượt hạ 100 - 1",",179057,PVX,SHB,VCG,VND,SCR,BVS,KLS,PVS,lần_lượt,hạ,100,1"
200 đồng một cổ_phiếu,",200,đồng,cổ_phiếu"
"180375 : Các mã chủ_chốt SCR , ACB , SHB , SHS , VND tăng 100 - 400 đồng",",180375,Các,mã,chủ_chốt,SCR,ACB,SHB,SHS,VND,100,400,đồng"
"181120 : Trong khi đó , SHB , PVX , ACB , BVS , KLS , VND lần_lượt giảm 100 - 300 đồng",",181120,Trong,SHB,PVX,ACB,BVS,KLS,VND,lần_lượt,100,300,đồng"
"181205 : Những mã chủ_chốt : BVS , KLS , PVS , PVX , VND , VCG , SCR lần_lượt tăng 200 - 500 đồng",",181205,Những,mã,chủ_chốt,BVS,KLS,PVS,PVX,VND,VCG,SCR,lần_lượt,200,500,đồng"
"181487 : Các mã chủ_chốt : SHB , SCR , BVS , KLS , VND lần_lượt giảm 200 - 700 đồng",",181487,Các,mã,chủ_chốt,SHB,SCR,BVS,KLS,VND,lần_lượt,200,700,đồng"
"182227 : Các mã chủ_chốt : ACB , KLS , SHB , VND , VCG , SCR tăng 100 - 200 đồng",",182227,Các,mã,chủ_chốt,ACB,KLS,SHB,VND,VCG,SCR,100,200,đồng"
"182394 : SHB , KLS , LAS , VCG , BVS , VND , ACB , SD6 , SD9 , PVS tăng 100 - 700 đồng",",182394,SHB,KLS,LAS,VCG,BVS,VND,ACB,SD6,SD9,PVS,100,700,đồng"
"183987 : Nhiều mã lớn : BVS , ACB , VCG , PVS lần_lượt mất 400 - 1",",183987,Nhiều,mã,BVS,ACB,VCG,PVS,lần_lượt,400,1"
000 đồng,",000,đồng"
"185104 : Các mã chủ_chốt : KLS , ACB , BVS , VCG , SHS , VND lần_lượt mất 200 - 400 đồng",",185104,Các,mã,chủ_chốt,KLS,ACB,BVS,VCG,SHS,VND,lần_lượt,200,400,đồng"
"NHÓM 0 - 6 18980 : VNM , AGF và BMP cùng mất đi 5 điểm",",NHÓM,0,6,18980,VNM,AGF,BMP,đi,5"
"18996 : NKD giảm 4 điểm , BMP và PGC cùng mất 3 điểm",",18996,NKD,4,BMP,PGC,3"
"19163 : Kế đến là SJS lên 18 điểm , SAM cũng tăng 6 điểm",",19163,Kế,SJS,18,SAM,6"
"19403 : GMD mất 7 điểm , AGF và SAM cùng xuống 6 điểm",",19403,GMD,7,AGF,SAM,6"
"19771 : PVD và HRC cùng trội thêm 7 điểm , AGF lên 5 điểm",",19771,PVD,HRC,trội,7,AGF,5"
"19774 : KDC vơi đi 7 điểm , VNM và DHG đồng_loạt mất thêm 5",",19774,KDC,vơi,đi,7,VNM,DHG,đồng_loạt,5"
000 đồng,",000,đồng"
"20175 : DRC và HBC cùng mất đi 4,5 điểm",",20175,DRC,HBC,đi,45"
34731 : HPG tiếp_tục giảm 1,",34731,HPG,1"
"000 đồng , bluechip công_nghệ FPT cũng để mất 2 điểm",",000,đồng,bluechip,công_nghệ,FPT,2"
"34944 : PPC và VSH đều mất 1 điểm , KDC mất 5 điểm , SJS mất 2 điểm",",34944,PPC,VSH,1,KDC,5,SJS,2"
"39185 : Trong số các blue - chip , VNM mất đến 2 điểm , FPT giảm 1,5",",39185,Trong,blue,chip,VNM,2,FPT,15"
"48603 : Riêng DHG rớt đến 5 điểm , BMC , SGH , TCT mất 4",",48603,Riêng,DHG,rớt,5,BMC,SGH,TCT,4"
000 đồng một cổ_phiếu,",000,đồng,cổ_phiếu"
"68228 : VCB , DPM , DHG , PVF cũng đóng_cửa với mức điểm giảm",",68228,VCB,DPM,DHG,PVF,đóng_cửa"
"184511 : SSI , FPT , GMD",",184511,SSI,FPT,GMD"
,
,
cũng có đà tích_lũy điểm ấn_tượng,",đà,tích_lũy,ấn_tượng"
"NHÓM 0 - 7 63902 : Bộ ba ngân_hàng STB , VCB , CTG tiếp_tục mất điểm",",NHÓM,0,7,63902,Bộ,ngân_hàng,STB,VCB,CTG"
"81407 : Cổ_phiếu tài_chính ngân_hàng BVH , CTG , EIB , STB , VCB lên 0,1 - 1,6 điểm",",81407,Cổ_phiếu,tài_chính,ngân_hàng,BVH,CTG,EIB,STB,VCB,01,16"
"93207 : Ở nhóm cổ_phiếu ngân_hàng , EIB tăng 0,1 điểm , trong khi STB , VCB , CTG giảm 0,1 - 0,2 điểm",",93207,Ở,cổ_phiếu,ngân_hàng,EIB,01,STB,VCB,CTG,01,02"
"108277 : Nhóm ngành ngân_hàng , STB , VCB , CTG tăng , chỉ có EIB đứng giá",",108277,Nhóm,ngành,ngân_hàng,STB,VCB,CTG,EIB,đứng,giá"
"123780 : Cổ_phiếu ngân_hàng tiếp_tục yếu_thế , MBB , EIB , STB , VCB rớt_giá 400 - 800 đồng",",123780,Cổ_phiếu,ngân_hàng,yếu_thế,MBB,EIB,STB,VCB,rớt_giá,400,800,đồng"
"127850 : VNM và nhóm cổ_phiếu ngân_hàng CTG , EIB , MBB , VCB cùng về vạch tham_chiếu",",127850,VNM,cổ_phiếu,ngân_hàng,CTG,EIB,MBB,VCB,vạch,tham_chiếu"
"129376 : Cổ_phiếu ngân_hàng đỏ sàn với MBB , STB , VCB lần_lượt giảm 100 - 300 đồng",",129376,Cổ_phiếu,ngân_hàng,đỏ,sàn,MBB,STB,VCB,lần_lượt,100,300,đồng"
"130878 : Nhóm ngân_hàng bật xanh , MBB , EIB , STB , VCB lần_lượt tăng 100 - 400 đồng",",130878,Nhóm,ngân_hàng,bật,xanh,MBB,EIB,STB,VCB,lần_lượt,100,400,đồng"
"135545 : Nhóm ngân_hàng ghi_nhận STB đứng giá , EIB , CTG , VCB giảm 100 - 200 đồng",",135545,Nhóm,ngân_hàng,ghi_nhận,STB,đứng,giá,EIB,CTG,VCB,100,200,đồng"
"139033 : Nhóm ngân_hàng suy_yếu , EIB , VCB , CTG , MBB giảm 100 - 1",",139033,Nhóm,ngân_hàng,suy_yếu,EIB,VCB,CTG,MBB,100,1"
"000 đồng , STB đừng ở vạch tham_chiếu",",000,đồng,STB,đừng,vạch,tham_chiếu"
"142219 : Một_số mã ngân_hàng : CTG , EIB , VCB giảm nhẹ 100 - 200 đồng",",142219,Một_số,mã,ngân_hàng,CTG,EIB,VCB,nhẹ,100,200,đồng"
"150098 : Riêng nhóm cổ_phiếu ngân_hàng EIB , CTG , MBB tăng , VCB và STB giảm điểm",",150098,Riêng,cổ_phiếu,ngân_hàng,EIB,CTG,MBB,VCB,STB"
150235 : Blue - chip ngân_hàng ngoại_trừ CTG và VCB duy_trì phong_độ ghi_nhận thêm EIB bật xanh,",150235,Blue,chip,ngân_hàng,ngoại_trừ,CTG,VCB,duy_trì,phong_độ,ghi_nhận,EIB,bật,xanh"
"153048 : Cổ_phiếu ngân_hàng ghi_nhận CTG , VCB tăng nhẹ , EIB , MBB đi ngang",",153048,Cổ_phiếu,ngân_hàng,ghi_nhận,CTG,VCB,nhẹ,EIB,MBB,đi,ngang"
