dest,source
"_Trước_diễn_biến_này,_chỉ_số_VN-Index_đã_tụt_xuống_còn_269,86_điểm,_thấp_hơn_4_điểm_so_với_mức_cao_nhất_trong_vòng_2_năm,_được_ghi_nhận_vào_phiên_giao_dịch_hôm_qua._",VN-Index_number_điểm_number_điểm_với_mức_trong_number_và_phiên_giao_dịch_
"_Chốt_tuần_thứ_ba_của_tháng_11,_Vn-Index_không_chút_ngập_ngừng_xuyên_thủng_mốc_322,08_thiết_lập_ngày_28/10,_cùng_lúc_với_S&P_500_xuống_mức_thấp_nhất_trong_11_năm_qua._",của_number_Vn-Index_number_number_number_với_number_mức_trong_number_
"_Cứ_mỗi_ngày_trôi_qua,_Vn-Index_lại_xác_lập_một_đáy_mới_để_chốt_phiên_cuối_tuần_chỉ_còn_có_252,57_điểm,_mức_thấp_nhất_trong_hơn_4_năm_qua._",Vn-Index_phiên_có_number_điểm_mức_trong_number_
"_Song,_từ_đầu_tháng_3_đến_ngày_14/4,_REE_quay_đầu_ngoạn_mục_với_mức_tăng_ấn_tượng_từ_17.100_đồng_vọt_lên_hẳn_36.200_đồng,_tương_đương_116%_trong_khi_Vn-Index_chỉ_tiến_có_40%._",đầu_number_number_number_đầu_với_mức_tăng_tư_number_đồng_lên_number_đồng_tư_đương_number_%_trong_Vn-Index_có_number_%_
"_Mức_điểm_20,53_(4,48%)_và_11,12_điểm_(6,35%)_mà_Vn-Index_và_HaSTC-Index_đạt_được_trong_phiên_5/6_cũng_là_những_mức_tăng_mạnh_nhất_của_2_chỉ_số_kể_từ_đầu_năm._",điểm_number_number_%_và_number_điểm_number_%_Vn-Index_và_trong_phiên_number_number_là_mức_tăng_của_number_đầu_
"_Với_mức_tăng_2,97_điểm_(0,6%),_Vn-Index_kết_thúc_phiên_giao_dịch_ở_494,17_điểm,_đạt_mức_cao_nhất_trong_gần_2_tháng_qua,_hứa_hẹn_tái_chinh_phục_mốc_500_ở_những_ngày_kế_tiếp._",mức_tăng_number_điểm_number_%_Vn-Index_phiên_giao_dịch_number_điểm_mức_trong_number_number_
"_Mức_điểm_mới_này_chỉ_nhỉnh_hơn_đỉnh_547,69_của_ngày_1/9_trước_đó_0,3_điểm,_và_cũng_không_phải_là_mức_cao_nhất_Vn-Index_đạt_được_trong_phiên._",điểm_number_của_number_number_number_điểm_và_là_mức_Vn-Index_trong_phiên_
"_Song,_nhờ_sức_bật_cao_ở_những_ngày_đầu_tuần,_nên_Vn-Index_vẫn_có_thêm_chút_vốn_liếng_so_với_tuần_trước,_khi_tăng_thêm_tổng_cộng_4,34_điểm_(1%)._",đầu_Vn-Index_có_với_tăng_number_điểm_number_%_
"_Vn-Index_cứ_trượt_mãi_để_sau_5_ngày_giao_dịch_mất_hết_37,03_điểm_và_chỉ_còn_lại_483,69_điểm_-_mức_thấp_nhất_kể_từ_đầu_tháng_2_đến_nay._",Vn-Index_number_giao_dịch_number_điểm_và_number_điểm_mức_đầu_number_
"_Nếu_cuối_tuần_trước,_chỉ_số_sàn_TP_HCM_đã_tiến_rất_sát_mốc_520_thì_chỉ_mới_2_phiên_đầu_tuần,_Vn-Index_đã_cách_biệt_khá_lớn_với_mức_này._",number_number_phiên_đầu_Vn-Index_với_mức_
"_Nhờ_lực_đẩy_của_các_trụ_cột,_Vn-Index_tăng_tốc_dần_trong_phiên_để_đóng_cửa_tại_344,68_điểm,_tăng_tổng_cộng_5,36_điểm_-_mức_cao_nhất_kể_trong_vòng_một_tháng_qua._",của_Vn-Index_tăng_trong_phiên_cửa_number_điểm_tăng_number_điểm_mức_trong_
"_Thời_điểm_đó,_Vn-Index_tạo_đáy_vào_tháng_10/2003_ở_vùng_131-135_điểm,_nhưng_chỉ_trong_vòng_3_tháng_sau_chỉ_số_này_đã_vượt_mốc_210_điểm_(tương_đương_mức_tăng_hơn_60%)._",điểm_Vn-Index_và_number_number_number_number_điểm_trong_number_number_điểm_tư_đương_mức_tăng_number_%_
"_Tuy_nhiên,_chỉ_trong_gần_11_tháng_đầu_năm,_VN-Index_đã_tăng_hơn_250_điểm_-_vượt_qua_mốc_kỷ_lục_900_điểm_và_tương_đương_với_mức_cao_nhất_trong_10_năm_trở_lại_đây._",trong_number_đầu_VN-Index_tăng_number_điểm_number_điểm_và_tư_đương_với_mức_trong_number_
"_Chốt_phiên_giao_dịch_cuối_tháng_3,_VN-Index_tăng_hơn_19%_so_với_đầu_năm_để_tiếp_tục_giữ_ngôi_đầu_thị_trường_chứng_khoán_có_mức_tăng_tốt_nhất_thế_giới._NHÓM_2_",phiên_giao_dịch_number_VN-Index_tăng_number_%_với_đầu_đầu_trường_có_mức_tăng_NHÓM_number_
"_Vn-Index_khởi_đầu_phiên_giao_dịch_trong_không_khí_hứng_khởi,_giành_được_thêm_6,13_điểm,_chốt_đợt_đầu_ở_ở_470,14_điểm._",Vn-Index_đầu_phiên_giao_dịch_trong_number_điểm_đợt_đầu_number_điểm_
"_Đi_qua_15_cuối_cùng,_Vn-Index_giảm_1,03_điểm,_bất_chấp_dấu_hiệu_khởi_sắc_trong_giao_dịch_những_phút_đầu_của_phiên._",number_Vn-Index_giảm_number_điểm_trong_giao_dịch_đầu_của_phiên_
"_Xu_hướng_lạc_quan_được_kéo_dài_đến_cuối_phiên,_giúp_Vn-Index_đạt_mức_tăng_tới_9,17_điểm_trước_khi_đóng_cửa._",phiên_Vn-Index_mức_tăng_number_điểm_cửa_
"_Tiếp_tục_tín_hiệu_khởi_sắc_từ_hôm_qua,_bước_vào_đầu_phiên_giao_dịch,_Vn-Index_tăng_0,7_điểm,_tương_đương_0,17%,_dừng_ở_418,74_điểm._",và_đầu_phiên_giao_dịch_Vn-Index_tăng_number_điểm_tư_đương_number_%_number_điểm_
"_Nối_dài_tín_hiệu_khởi_sắc_trong_những_phiên_vừa_qua,_mở_đầu_giao_dịch_hôm_nay,_Vn-Index_tăng_2,6_điểm,_tương_đương_0,62%,_lên_420,76_điểm._",trong_phiên_đầu_giao_dịch_Vn-Index_tăng_number_điểm_tư_đương_number_%_lên_number_điểm_
"_Nối_dài_tín_hiệu_khởi_sắc_trong_những_phiên_vừa_qua,_mở_đầu_giao_dịch_hôm_nay,_Vn-Index_tăng_2,6_điểm,_tương_đương_0,62%,_lên_420,76_điểm._",trong_phiên_đầu_giao_dịch_Vn-Index_tăng_number_điểm_tư_đương_number_%_lên_number_điểm_
"_Tiếp_tục_tín_hiệu_khởi_sắc_từ_hôm_qua,_bước_vào_đầu_phiên_giao_dịch,_Vn-Indextăng_0,7_điểm,_tương_đương_0,17%,_dừng_ở_418,74_điểm._",và_đầu_phiên_giao_dịch_Vn-Index_tăng_number_điểm_tư_đương_number_%_number_điểm_
"_Mở_cửa_hôm_nay,_Vn-Index_tiếp_tục_tín_hiệu_lạc_quan_khi_nhích_thêm_1,13_điểm_(tương_đương_0,28%)_trong_đợt_một._",cửa_Vn-Index_number_điểm_tư_đương_number_%_trong_đợt_
"_Vn-Index_có_khởi_đầu_thuận_lợi_trong_phiên_hôm_nay_khi_tăng_0,48_điểm,_tương_đương_0,12%,_lên_402,56_điểm_trong_đợt_1._",Vn-Index_có_đầu_trong_phiên_tăng_number_điểm_tư_đương_number_%_lên_number_điểm_trong_đợt_number_
"_Tín_hiệu_khởi_sắc_xuất_hiện_khi_Vn-Index_bước_sang_phiên_giao_dịch_chiều_với_mức_tăng_0,04_điểm._",Vn-Index_phiên_giao_dịch_với_mức_tăng_number_điểm_
"_Đóng_cửa,_Vn-Index_có_phiên_tăng_điểm_thứ_3_liên_tiếp_cùng_khối_lượng_giao_dịch_tiếp_tục_được_cải_thiện._",cửa_Vn-Index_có_phiên_tăng_điểm_number_giao_dịch_
"_Mở_đầu_phiên,_VN-Index_chỉ_giảm_nhẹ_2_điểm_song_hai_sàn_giao_dịch_chậm,_thanh_khoản_thấp._NHÓM_3_",đầu_phiên_VN-Index_giảm_number_điểm_giao_dịch_NHÓM_number_
"_Thị_trường_đang_chứng_kiến_sự_tranh_chấp_mạnh_của_bên_bán_gồm_những_nhà_đầu_tư_đang_cân_nhắc_khả_năng_có_những_phiên_điều_chỉnh_trước_khi_tích_lũy_để_Vn-Index_tiến_lên_vùng_480_điểm,_với_bên_mua_đang_""canh""_những_phiên_điều_chỉnh_để_gom_vào._",trường_của_nhà_đầu_tư_có_phiên_Vn-Index_lên_number_điểm_với_phiên_và_
"_Xét_trên_khía_cạnh_phân_tích_kỹ_thuật,_sự_quay_đầu_của_Vn-Index_khi_chạm_ngưỡng_hỗ_trợ_440_là_hợp_lý_khi_các_chỉ_báo_như_Momentum_đã_đi_vào_mức_âm,_Stochastic_đã_chạm_vào_vùng_bán_quá_đồng_thời_VN-Index_xuống_sát_dải_dưới_của_Bollinger_band._",đầu_của_Vn-Index_number_là_và_mức_và_đồng_VN-Index_của_
_Điều_đó_cho_thấy_Vn-Index_có_sức_kháng_cự_khá_tốt_ở_mốc_420-430_điểm_và_nhịp_tăng_điểm_cũng_một_phần_do_bên_bán_chủ_động_giảm_bớt_nguồn_cung_và_không_sẵn_sàng_bán_giá_thấp_như_chờ_đợi_của_bên_mua._,Vn-Index_có_number_number_điểm_và_tăng_điểm_giảm_và_của_
"_Bên_cạnh_đó,_khi_xu_thế_tăng_được_xác_lập_trở_lại,_thị_trường_sẽ_tự_tạo_ra_lực_hấp_dẫn_vốn_có_của_nó,_thu_hút_dòng_tiền_của_các_nhà_đầu_tư_theo_xu_thế_và_từ_đó_có_thể_gây_phản_ứng_cộng_hưởng_giúp_duy_trì_đà_tăng_điểm_của_Vn-Index._",tăng_trường_có_của_của_nhà_đầu_tư_và_có_tăng_điểm_của_Vn-Index_
"_Ngược_lại,_đối_với_các_nhà_đầu_tư_ngắn_hạn_và_theo_xu_thế,_do_đặc_điểm_đặc_thù_“không_bắt_đáy”_của_trường_phái_đầu_tư_này,_nên_tạm_thời_đứng_ngoài_thị_trường_và_chưa_giải_ngân_trở_lại_chừng_nào_Vn-Index_chưa_cho_tín_hiệu_khởi_sắc_và_xác_lập_một_đợt_tăng_trưởng_mới._",với_nhà_đầu_tư_và_điểm_của_trường_đầu_tư_trường_và_Vn-Index_và_đợt_tăng_
"_BVSC_cho_rằng_cơ_hội_""vượt_cản""_của_hai_chỉ_só_này_vẫn_sẽ_được_đánh_giá_cao_hơn_chừng_nào_nhịp_điều_chỉnh_còn_diễn_ra_một_cách_có_trật_tự,_đồng_thời_giữ_được_các_mức_điểm_quan_trọng,_bao_gồm_470-475_điểm_đối_với_Vn-Index_và_61-62_điểm_đối_với_HNX-Index._",của_có_đồng_mức_điểm_number_number_điểm_với_Vn-Index_và_number_number_điểm_với_
"_Hiện_tại_chưa_xuất_hiện_thông_tin_hỗ_trợ_đáng_kể_cho_thị_trường,_trong_khi_giao_dịch_khối_ngoại_chưa_tạo_được_xu_hướng_rõ_nét,_do_đó_chúng_tôi_bảo_lưu_quan_điểm_vùng_510_điểm_vẫn_là_kháng_cự_mạnh_của_Vn-Index_đồng_nghĩa_việc_bứt_phá_có_ít_cơ_sở_để_diễn_ra._",trường_trong_giao_dịch_điểm_number_điểm_là_của_Vn-Index_đồng_có_
"_Các_cây_nến_đen_dài_được_xen_kẽ_bởi_các_cây_nến_trắng_nhỏ_cho_thấy_bên_bán_đang_hoàn_toàn_kiểm_soát_thị_trường.Hiện_Vn-Index_đang_tiến_gần_hơn_đến_hỗ_trợ_460,_là_đáy_ngắn_hạn_cũ_và_mức_Fibonacci_38,2%,_nên_có_thể_giảm_tốc_trong_tuần_này._",trường_Vn-Index_number_là_và_mức_number_%_có_giảm_trong_
"_Theo_đánh_giá_của_Công_ty_chứng_khoán_Sài_Gòn_-_Hà_Nội_(SHS),_mẫu_hình_nến_của_VN-Index_trong_phiên_19/12_là_dạng_con_xoay_(spinning_top)_với_phần_thân_nến_nhỏ_và_bóng_nến_dài_thể_hiện_sự_giằng_co_cung_cầu_khá_dữ_dội,_nhưng_có_sự_cân_bằng_trong_vùng_giá_hiện_tại._NHÓM_4_",của_của_VN-Index_trong_phiên_number_number_là_với_và_có_trong_NHÓM_number_
"_Nếu_so_với_các_nước_này,_diễn_biến_của_Vn-Index_vẫn_khá_tích_cực._",với_của_Vn-Index_
"_Tuần_này,_Vn-Index_được_dự_báo_sẽ_có_diễn_biến_tích_cực_hơn._",Vn-Index_có_
_Diễn_biến_của_hai_chỉ_số_Index_mà_FTSE_quản_lý_khá_tương_đồng_với_Vn-Index._,của_tư_đồng_với_Vn-Index_
"_Nhìn_chung,_tương_tự_Vn-Index,_ABCS_vẫn_duy_trì_quan_điểm_lạc_quan_đối_với_HNX-Index._",tư_Vn-Index_điểm_với_
"_Nhận_định_một_cách_tương_đối,_HNX-Index_đang_yếu_hơn_rõ_rệt_so_với_Vn-Index._",tư_với_Vn-Index_
"_Với_diễn_biến_trong_tuần_trước,_ACB_bi_quan_với_triển_vọng_ngắn_hạn_của_Vn-Index._",trong_với_của_Vn-Index_
"_Tuy_nhiên,_diễn_biến_của_VN-Index_đã_cho_thấy_một_cục_diện_khác._NHÓM_5_",của_VN-Index_NHÓM_number_
"_Một_số_cổ_phiếu_chủ_chốt_có_mặt_trong_nhóm_tăng_giá_đã_góp_phần_kéo_VN-Index_tăng_0,79_điểm_lên_mức_307,05_điểm._",cổ_phiếu_có_trong_tăng_VN-Index_tăng_number_điểm_lên_mức_number_điểm_
"_Hơn_nửa_triệu_cổ_phiếu_khớp_lệnh_thuộc_nhóm_này_đã_góp_phần_kéo_VN-Index_tăng_10,6_điểm_đóng_cửa_ở_539,23_điểm._",triệu_cổ_phiếu_khớp_lệnh_VN-Index_tăng_number_điểm_cửa_number_điểm_
"_Sáng_nay,_giao_dịch_các_loại_cổ_phiếu_khác_cũng_không_mấy_sôi_động,_VN-Index_giảm_1,7_điểm,_đóng_cửa_với_439,57_điểm._",giao_dịch_cổ_phiếu_VN-Index_giảm_number_điểm_cửa_với_number_điểm_
"_Một_loạt_đầu_tàu_như_FPT,_GMD,_SAM,_VNM,_PVD_giảm_giá_kéo_Vn-Index_giảm_14,62_điểm,_đóng_cửa_đạt_1.123,07_điểm._",đầu_giảm_Vn-Index_giảm_number_điểm_cửa_number_number_điểm_
"_Lực_cầu_sung_sức_kéo_Vn-Index_không_những_bật_tăng_mà_còn_đẩy_tổng_khối_lượng_toàn_sàn_lên_mức_cao,_68,6_triệu,_tương_đương_2.610_tỷ_đồng._",Vn-Index_tăng_lên_mức_number_triệu_tư_đương_number_tỷ_đồng_
"_HAG_vẫn_xanh_điểm,_tăng_gần_1.000_đồng,_khớp_lệnh_nhiều_nhất_sàn_với_trên_800.000_cổ_phiếu,_Vn-Index_tăng_nhẹ._NHÓM_6_",điểm_tăng_number_đồng_khớp_lệnh_với_number_cổ_phiếu_Vn-Index_tăng_NHÓM_number_
"_Các_mã_có_ảnh_hưởng_nhiều_đến_Vn-Index_như_FPT_tăng_kịch_trần_lên_645.000_đồng,_khối_lượng_khớp_lệnh_vỏn_vẹn_163.420_cổ_phiếu_do_bên_bán_đặt_lệnh_rất_ít._",có_Vn-Index_tăng_lên_number_đồng_khớp_lệnh_number_cổ_phiếu_lệnh_
"_Sang_đến_đợt_khớp_lệnh_liên_tục,_Vn-Index_không_có_dù_chỉ_một_dấu_hiệu_phục_hồi,_trong_khi_biểu_tượng_giảm_sàn_dần_dần_lan_kín_cột_so_sánh_giá._",đợt_khớp_lệnh_Vn-Index_có_trong_tư_giảm_
"_Sang_đến_đợt_khớp_lệnh_liên_tục,_lệnh_bán_ào_ạt_tung_ra_khiến_Vn-Index_không_thể_gắng_gượng_và_liên_tục_tụt_dốc_sau_mỗi_lần_so_khớp._",đợt_khớp_lệnh_lệnh_Vn-Index_và_khớp_
"_Trên_sàn_giao_dịch,_ngay_khi_Vn-Index_vừa_quay_đầu_đi_lên_ở_đợt_khớp_lệnh_liên_tục,_nhiều_nhà_đầu_tư_đã_điện_thoại_gọi_bạn_bè_nhanh_chóng_bán_ra._",giao_dịch_Vn-Index_đầu_lên_đợt_khớp_lệnh_nhà_đầu_tư_
"_Cuộc_đấu_sức_giữa_bên_bán_và_bên_mua_cũng_đến_hồi_ngã_ngũ_khi_Vn-Index_chính_thức_có_thêm_8,81_điểm_sau_đợt_khớp_lệnh_định_kỳ_đầu_tiên._",và_Vn-Index_có_number_điểm_đợt_khớp_lệnh_đầu_
"_Vn-Index_có_bước_tăng_nhanh_hơn_dự_báo_của_giới_chuyên_gia_khi_xuất_hiện_nhiều_giao_dịch_bùng_nổ,_có_phiên_khớp_lệnh_tới_cả_trăm_triệu_cổ_phiếu._NHÓM_7_",Vn-Index_có_tăng_của_giao_dịch_có_phiên_khớp_lệnh_triệu_cổ_phiếu_NHÓM_number_
"_Chốt_phiên_ngày_11/12,_VN-Index_giảm_gần_23_điểm,_còn_hơn_917_điểm._",phiên_number_number_VN-Index_giảm_number_điểm_number_điểm_
"_Chốt_phiên_giao_dịch_ngày_hôm_nay_(17/1),_VN-Index_giảm_gần_30_điểm,_tương_đương_2,7%_còn_1.034,7_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_number_điểm_
"_Chốt_phiên_giao_dịch,_VN-Index_giảm_56_điểm,_tương_đương_5,1%_còn_1.048,71_điểm._",phiên_giao_dịch_VN-Index_giảm_number_điểm_tư_đương_number_%_number_number_điểm_
"_Chốt_phiên_giao_dịch_ngày_11/4,_VN-Index_giảm_hơn_31_điểm_(tương_đương_2,59%)_xuống_còn_1.167_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_điểm_
"_Chốt_phiên_giao_dịch_23/3,_VN-Index_giảm_gần_19_điểm,_tương_đương_1,6%_xuống_còn_1.153_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_điểm_
"_Chốt_phiên_giao_dịch_ngày_23/4,_VN-Index_giảm_hơn_43_điểm,_còn_1.076,78_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_number_number_điểm_
"_Chốt_phiên_giao_dịch_ngày_19/4,_VN-Index_giảm_43,9_điểm,_tương_đương_gần_4%_còn_1.094,63_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_number_điểm_
"_Chốt_phiên_giao_dịch_18/4,_VN-Index_giảm_14,75_điểm,_tương_đương_1,28%_còn_1.138,43_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_number_điểm_
"_Chốt_phiên_giao_dịch_ngày_21/5,_VN-Index_giảm_25,56_điểm_(tương_đương_2,46%),_còn_1.015_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_điểm_
"_Chốt_phiên_giao_dịch,_VN-Index_giảm_15,59_điểm_(tương_đương_1,7%)_còn_899,4_điểm._",phiên_giao_dịch_VN-Index_giảm_number_điểm_tư_đương_number_%_number_điểm_
"_Chốt_phiên_giao_dịch_ngày_19/6,_VN-Index_giảm_hơn_25_điểm_(tương_đương_2,55%),_còn_962,16_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_điểm_
"_Chốt_phiên_giao_dịch_ngày_18/6,_VN-Index_giảm_29,17_điểm_(tương_đương_2,87%)_còn_987,34_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_điểm_
"_Chốt_phiên_giao_dịch_ngày_31/8,_VN-Index_giảm_8,5_điểm_(tương_đương_0,85%)_còn_989,5_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_điểm_
"_Chốt_phiên_giao_dịch_ngày_15/10,_VN-Index_giảm_18,44_điểm_(tương_đương_1,9%)_còn_951,64_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_điểm_
"_Chốt_phiên_giao_dịch_ngày_8/10,_VN-Index_giảm_12,27_điểm_(tương_đương_1,22%)_xuống_còn_hơn_996_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_điểm_
"_Chốt_phiên_giao_dịch_ngày_5/10,_VN-Index_giảm_15,23_điểm_(tương_đương_gần_1,5%)_còn_1.008,39_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_number_điểm_
"_Chốt_phiên_giao_dịch_ngày_25/10,_VN-Index_giảm_12,56_điểm_(tương_đương_1,36%)_còn_910,17_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_điểm_
"_Chốt_phiên_giao_dịch_ngày_23/10,_VN-Index_giảm_gần_14_điểm_(tương_đương_1,45%),_còn_939,68_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_điểm_
"_Chốt_phiên_giao_dịch_ngày_3/1,_VN-Index_giảm_13,53_điểm_(tương_đương_1,52%)_còn_878,22_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_điểm_
"_Chốt_phiên_giao_dịch_ngày_19/12,_VN-Index_giảm_hơn_8_điểm_(tương_đương_0,86%)_còn_919,24_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_điểm_
"_Chốt_phiên_giao_dịch_hôm_nay_(25/3),_VN-Index_giảm_18,64_điểm_(tương_đương_1,89%),_còn_970_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_điểm_
"_Chốt_phiên_giao_dịch_ngày_31/5,_VN-Index_mất_9,46_điểm_(tương_đương_0,98%),_còn_959,88_điểm._",phiên_giao_dịch_number_number_VN-Index_number_điểm_tư_đương_number_%_number_điểm_
"_Chốt_phiên_giao_dịch_ngày_7/5,_VN-Index_giảm_6,34_điểm_(tương_đương_0,66%),_còn_951,22_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_điểm_
"_Chốt_phiên_giao_dịch,_VN-Index_giảm_16,17_điểm_(tương_đương_1,66%)_còn_958_điểm._",phiên_giao_dịch_VN-Index_giảm_number_điểm_tư_đương_number_%_number_điểm_
"_Chốt_phiên_giao_dịch_hôm_nay_(2/8),_VN-Index_giảm_6,29_điểm_(tương_đương_0,63%),_còn_991,1_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_điểm_
"_Chốt_phiên_giao_dịch_26/8,_VN-Index_giảm_9,57_điểm_(tương_đương_0,96%),_còn_982,88_điểm._",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_điểm_
"_Chốt_phiên_giao_dịch_ngày_hôm_nay_(5/8),_VN-Index_giảm_17,95_điểm_(tương_đương_1,81%)_còn_973,15_điểm._NHÓM_8_",phiên_giao_dịch_number_number_VN-Index_giảm_number_điểm_tư_đương_number_%_number_điểm_NHÓM_number_
_Nhóm_nghiên_cứu_dự_báo_1.000_điểm_hoặc_thấp_hơn_một_chút_là_ngưỡng_hỗ_trợ_tâm_lý_của_VN-Index._,number_điểm_là_của_VN-Index_
"_Theo_phân_tích_kỹ_thuật,_chỉ_số_Vn-Index_đang_được_hỗ_trợ_tại_đường_EMA(50)_(tương_đương_mức_điểm_420)._",Vn-Index_number_tư_đương_mức_điểm_number_
_Ngưỡng_hỗ_trợ_400-416_điểm_của_Vn-Index_đang_tạm_phát_huy_khá_hiệu_quả_trong_ngắn_hạn._,number_number_điểm_của_Vn-Index_trong_
_Kháng_cự_và_hỗ_trợ_trong_ngắn_hạn_đối_với_VN-Index_đang_lần_lượt_ở_mức_500_và_480_điểm._,và_trong_với_VN-Index_mức_number_và_number_điểm_
_Ngưỡng_hỗ_trợ_380_điểm_của_Vn-Index_được_kỳ_vọng_sẽ_là_bệ_đỡ_tinh_thần_trong_giai_đoạn_khó_khăn._,number_điểm_của_Vn-Index_là_trong_
_Mức_điểm_phục_hồi_được_dự_báo_tại_vùng_59_và_483_-_487_lần_lượt_cho_HNX-index_và_Vn-Index._,điểm_number_và_number_number_và_Vn-Index_
"_Kịch_bản_thứ_hai,_VN-Index_được_kỳ_vọng_sẽ_giảm_về_ngưỡng_hỗ_trợ_561_điểm._",VN-Index_giảm_number_điểm_
_Ngưỡng_hỗ_trợ_và_kháng_cực_ngắn_hạn_của_VN-Index_được_SSI_dự_báo_trong_khoảng_930_-_985_điểm._,và_của_VN-Index_trong_number_number_điểm_
_Công_ty_chứng_khoán_Bảo_Việt_(BVSC)_dự_báo_VN-Index_nhiều_khả_năng_hướng_đến_vùng_kháng_cự_tiếp_theo_trong_khoảng_969-972_điểm._NHÓM_9_,VN-Index_trong_number_number_điểm_NHÓM_number_
"_Nếu_xét_theo_tính_chu_kỳ_thì_động_thái_hình_thành_khuynh_hướng_phục_hồi_có_thể_bắt_đầu_từ_giữa_tháng_10,_song_trên_thực_tế_trong_tháng_9_đã_xuất_hiện_những_chuyển_biến_tích_cực,_với_nhiều_phiên_giao_dịch_liên_tiếp_tăng_điểm_và_chỉ_số_VN-Index_vượt_qua_mốc_1.000_điểm._",có_đầu_number_trong_number_với_phiên_giao_dịch_tăng_điểm_và_VN-Index_number_điểm_
